,PC1,PC2,PC3
TSI:UNIGE:ERR188347,-0.000443947,0.000194647,0.000558407
CEU:LUMC:ERR188348,0.000224395,-4.36334E-05,-0.001029505
CEU:UU:ERR188349,-0.000353295,-0.000383207,-0.000737424
CEU:UNIGE:ERR188350,0.001066895,-0.000619857,-0.000158277
GBR:HMGU:ERR188351,-0.00030977,0.0012991,-0.000786434
YRI:ICMB:ERR188352,0.000372364,0.000139403,0.000379071
TSI:CNAG_CRG:ERR188353,0.000335285,0.001154438,-0.000581805
CEU:LUMC:ERR188354,-0.001118412,-0.000909458,-0.001313066
FIN:ICMB:ERR188355,-6.17672E-05,0.00078037,0.000233092
TSI:UNIGE:ERR188356,-0.000355186,-0.000495191,0.001354896
TSI:MPIMG:ERR188357,-0.00036581,-0.000468905,0.000395055
FIN:CNAG_CRG:ERR188358,-0.000174199,0.001524429,-9.02583E-05
TSI:MPIMG:ERR188359,-0.000199137,0.00095556,-4.33253E-05
TSI:UU:ERR188360,-0.000470743,0.000337792,0.000853673
FIN:UNIGE:ERR188361,-0.000255597,-0.000848112,0.000341911
FIN:UNIGE:ERR188362,-6.8601E-05,-0.000351049,0.000658782
YRI:CNAG_CRG:ERR188363,-0.000658182,0.000205418,-0.000213522
YRI:HMGU:ERR188364,-8.17929E-05,0.000462009,1.66602E-05
YRI:UNIGE:ERR188365,-9.17227E-05,-0.000776573,0.000880141
GBR:UU:ERR188366,1.41849E-06,0.000871121,-7.87498E-05
YRI:UNIGE:ERR188367,-0.000190967,-0.000790251,-0.000122841
GBR:MPIMG:ERR188368,-0.000803449,0.001230739,-7.93916E-05
TSI:UU:ERR188369,0.000395212,0.001262881,0.000139507
GBR:CNAG_CRG:ERR188370,-0.000727026,0.000345976,0.000108452
CEU:CNAG_CRG:ERR188371,-6.27765E-05,0.000440943,-0.001229931
TSI:HMGU:ERR188372,-0.000584912,-0.00013565,0.000837057
YRI:UU:ERR188373,0.000137985,-9.34733E-05,0.000327416
FIN:MPIMG:ERR188374,3.17419E-05,0.000881074,-5.21486E-05
YRI:CNAG_CRG:ERR188375,0.000143614,0.000957136,-0.000553629
CEU:UU:ERR188376,-0.000155104,-7.12707E-05,-0.000820564
CEU:MPIMG:ERR188377,0.000120836,6.39752E-05,-0.000886356
GBR:HMGU:ERR188378,-0.001022906,0.000442505,0.000785018
GBR:MPIMG:ERR188379,-9.01896E-05,0.000631147,0.00018434
TSI:MPIMG:ERR188380,0.000180604,4.41189E-05,-0.000129322
TSI:UU:ERR188381,-4.85493E-05,0.000133293,0.000370803
TSI:UNIGE:ERR188382,-0.000258557,-0.000464459,0.000958305
GBR:ICMB:ERR188383,0.000116058,0.000933508,0.000564609
TSI:HMGU:ERR188384,-0.00037017,5.43892E-05,0.000511852
GBR:HMGU:ERR188385,-0.000356997,0.001229445,5.31764E-05
TSI:LUMC:ERR188386,2.8239E-05,-7.75594E-05,0.000556472
GBR:MPIMG:ERR188387,0.000384368,0.001046032,0.000311698
CEU:UNIGE:ERR188388,-0.00033673,-0.000686445,-0.000956766
CEU:ICMB:ERR188389,0.000187862,0.000476852,-0.001894841
YRI:UNIGE:ERR188390,-0.000282625,-0.000562688,0.000562784
GBR:UU:ERR188391,-0.000821057,-8.70832E-06,-2.77435E-05
YRI:ICMB:ERR188392,0.000966975,8.02518E-05,0.000127086
TSI:MPIMG:ERR188393,-0.001229745,0.000526233,-0.001348615
TSI:HMGU:ERR188394,-0.000336034,0.001053243,0.000590353
FIN:LUMC:ERR188395,-0.001344057,-0.000870475,0.000601981
CEU:UNIGE:ERR188396,-0.000246135,-0.000637347,-0.001393077
FIN:CNAG_CRG:ERR188397,-0.00047131,0.000541335,-0.000266171
TSI:MPIMG:ERR188398,-4.19632E-05,0.000592833,7.82997E-05
TSI:ICMB:ERR188399,-0.000168483,-0.000105118,0.000549731
FIN:UNIGE:ERR188400,-0.00035947,-0.000204446,-8.95451E-05
GBR:HMGU:ERR188401,-0.000411028,0.00025211,0.000635882
TSI:UNIGE:ERR188402,0.000203164,-0.00037791,0.000789102
GBR:CNAG_CRG:ERR188403,-0.000543467,0.000533277,0.001029898
