,PC1,PC2,PC3
FIN:UNIGE:ERR188240,-0.000872824,-0.000526652,-0.000213612
FIN:CNAG_CRG:ERR188241,-0.000118948,0.001589358,0.000209987
GBR:UNIGE:ERR188242,0.000115227,-0.001269834,0.000264961
YRI:HMGU:ERR188243,-0.000141527,-0.000315957,9.42E-05
CEU:UNIGE:ERR188244,-0.000150024,-5.03E-05,0.000658907
GBR:UNIGE:ERR188245,0.000372048,-0.001531401,7.88E-05
CEU:UU:ERR188246,0.000512519,0.000770626,0.001483993
GBR:UNIGE:ERR188247,-3.82E-05,-0.001433571,-0.000623334
FIN:ICMB:ERR188248,0.000138669,0.000781256,-0.001201952
TSI:UNIGE:ERR188249,0.000377927,-0.000850702,0.000517996
FIN:LUMC:ERR188250,-8.89E-05,7.82E-05,-0.000790273
TSI:CNAG_CRG:ERR188251,0.00052235,0.000377808,-0.001089912
TSI:ICMB:ERR188252,0.000700565,0.000347742,-0.000384012
TSI:ICMB:ERR188253,0.000231531,0.000303728,-0.000853557
TSI:UNIGE:ERR188254,0.000417692,-0.000768342,0.000619507
FIN:UNIGE:ERR188255,-0.000216424,-0.00143039,-0.0011602
CEU:ICMB:ERR188256,0.000570988,0.000231973,0.000613379
GBR:LUMC:ERR188257,-9.75E-05,-0.000711622,0.000352137
TSI:CNAG_CRG:ERR188258,-0.000669914,0.000797867,-0.000767247
TSI:ICMB:ERR188259,0.000568825,0.000338212,-0.000946983
FIN:HMGU:ERR188260,-0.000426238,0.000726063,-0.00143084
YRI:HMGU:ERR188261,-0.000753877,0.0013911,-9.67E-05
CEU:CNAG_CRG:ERR188262,-0.00029426,0.00079557,0.000520469
FIN:UNIGE:ERR188263,-0.0002215,-3.15E-05,-6.70E-05
FIN:UU:ERR188264,6.44E-05,0.000820883,-0.000258533
TSI:CNAG_CRG:ERR188265,8.28E-05,-0.000290106,-0.001384807
FIN:CNAG_CRG:ERR188266,0.00044657,0.001452352,-0.000608135
FIN:UU:ERR188267,0.000175884,0.000743706,-0.000160815
YRI:CNAG_CRG:ERR188268,-0.000144766,0.00034931,0.000173471
YRI:CNAG_CRG:ERR188269,-0.000485575,0.000651403,-0.000667853
FIN:UNIGE:ERR188270,-0.000754466,0.000156857,-0.000181054
GBR:LUMC:ERR188271,-0.000326946,-0.000267127,0.000667553
CEU:UNIGE:ERR188272,-0.000208693,-0.000148154,0.001191993
YRI:MPIMG:ERR188273,0.000806279,-0.000169184,0.001015812
FIN:MPIMG:ERR188274,-1.87E-05,0.000438934,-0.000873037
YRI:UNIGE:ERR188275,-0.000350034,-0.000872459,0.001207935
TSI:CNAG_CRG:ERR188276,-3.84E-05,0.001041155,-8.37E-06
CEU:HMGU:ERR188277,-0.000187203,0.001764819,0.000686078
YRI:UNIGE:ERR188278,0.000600463,-0.002199399,0.001040947
CEU:UU:ERR188279,-0.000208265,0.001360039,-6.09E-05
FIN:MPIMG:ERR188280,0.000926827,0.000698225,0.000204145
TSI:LUMC:ERR188281,-0.000494669,-0.000335286,0.000129048
TSI:UU:ERR188282,0.000426491,-1.94E-06,-0.000764495
YRI:UU:ERR188283,0.000901756,-0.001112849,0.000147645
YRI:LUMC:ERR188284,-0.000976809,-0.001237196,0.001031887
GBR:UU:ERR188285,-1.19E-06,0.000319579,-0.000745459
TSI:ICMB:ERR188286,0.000845024,-0.00059801,-0.000849123
GBR:ICMB:ERR188287,-0.000134912,0.00058657,-0.000400404
TSI:UNIGE:ERR188288,-3.39E-05,-0.001302441,-0.000190336
GBR:LUMC:ERR188289,-0.000293411,-0.001096879,-0.000545824
TSI:UNIGE:ERR188297,0.000269712,-0.000621929,0.000680494
FIN:UNIGE:ERR188304,0.000197884,-0.000774146,-0.000108218
GBR:UNIGE:ERR188307,-0.000311118,-0.001796971,-0.000893476
YRI:ICMB:ERR188311,0.000515381,0.000137429,0.000746127
CEU:UNIGE:ERR188325,-0.000884102,0.00084911,0.000722766
TSI:UNIGE:ERR188329,-0.000260478,-0.000470925,0.000847915
GBR:MPIMG:ERR188368,-0.000275669,0.001106341,-3.63E-05
TSI:UU:ERR188369,0.000825951,-2.10E-05,-8.23E-05
CEU:UU:ERR188376,-2.08E-05,0.000687548,0.000544514
TSI:MPIMG:ERR188380,0.000316772,-0.000118786,-0.000192626
GBR:MPIMG:ERR188416,0.000259052,-0.000936913,-0.001202585
GBR:HMGU:ERR188428,0.000489188,-0.001201743,-0.00011726
FIN:MPIMG:ERR188445,0.000572576,0.000549588,-0.000959445
YRI:UNIGE:ERR188449,-0.000286683,-0.001486392,0.000203946
CEU:HMGU:ERR188474,0.000126541,0.001329568,0.000343952
CEU:UU:ERR188481,-7.36E-06,-7.77E-08,4.37E-05
