,PC1,PC2,PC3
LUAD:sample318,-5.15E-05,0.000683023,2.31E-06
LUAD:sample319,-0.000137731,0.000226532,-0.000571187
LUSC:sample320,-0.000147329,-0.000460618,1.05E-06
LUSC:sample321,-0.000104524,-0.000370686,0.000393424
LUAD:sample322,0.000101044,0.000963617,0.000733255
LUSC:sample323,-0.000120707,-0.000265335,0.000163043
LUAD:sample324,-8.14E-05,8.41E-05,-0.000426334
AML:sample325,0.000268127,-0.000193123,-0.000233915
LUAD:sample326,-0.000128415,6.87E-05,-0.000520748
LUSC:sample327,-0.000117859,0.000464033,-0.00065465
LUAD:sample328,-0.000124159,0.000241027,-0.000168049
LUSC:sample329,-0.000107586,-7.08E-06,0.000236484
LUAD:sample330,-7.91E-05,-2.83E-05,-0.000385785
AML:sample331,0.000324741,-7.93E-05,0.000124978
LUAD:sample332,-1.49E-05,1.85E-06,0.00038252
LAML:sample333,0.000311379,0.000103721,5.91E-05
LUSC:sample334,-0.000130663,-0.00019406,0.000181833
LUSC:sample335,-2.19E-05,0.000261565,0.000797172
LUSC:sample336,-0.00011152,-0.00035852,7.21E-05
LUAD:sample337,-7.77E-05,0.000298785,-0.000263283
LAML:sample338,0.000302985,5.24E-05,2.10E-05
LUSC:sample339,-6.21E-05,-0.000450473,0.000402075
AML:sample340,0.000317392,-0.000166965,-0.000349574
LUAD:sample341,-0.000119762,0.000147552,-0.000782834
LUSC:sample342,-0.00012401,-0.000194671,-3.42E-05
LUSC:sample343,-0.000171953,-0.00035311,-0.000365409
LUAD:sample344,-1.03E-05,0.000620535,0.000499753
LUAD:sample345,-8.19E-05,2.61E-05,-5.12E-05
LUSC:sample346,-5.64E-05,-0.000395992,0.000683934
LUAD:sample347,-3.59E-05,0.000733043,0.000165798
LUAD:sample348,-4.63E-05,9.11E-05,0.000567531
LAML:sample349,0.000285358,0.000307897,0.00025888
LUSC:sample350,-0.000110241,-0.000156818,-0.000456278
LUAD:sample351,-4.75E-05,-4.15E-05,0.000389849
AML:sample352,0.000281409,-1.48E-05,4.61E-05
LUAD:sample353,-0.000154998,-0.000119678,-0.00036056
AML:sample354,0.000316345,-0.000153259,-9.45E-05
LUSC:sample355,-9.24E-05,-0.000596224,0.000318366
LUAD:sample356,-1.92E-05,0.000565415,4.10E-05
LUAD:sample357,-0.000126697,0.000397619,-0.000670847
AML:sample358,0.00025342,-0.000102709,-0.00026633
LUAD:sample359,-3.78E-05,0.000218132,0.000244177
LUAD:sample360,-6.13E-05,7.34E-05,5.87E-05
LUSC:sample361,-0.000121705,-0.000270908,-9.57E-05
LUAD:sample362,-7.55E-05,7.37E-05,0.000260788
LUSC:sample363,-0.000135868,-0.000371134,-5.68E-05
