,PC1,PC2,PC3
LUAD:sample288,0.000345131,-0.000254013,-0.000244775
LUAD:sample289,0.000163335,-0.000152134,-0.000752047
LUSC:sample290,-0.000439868,0.0002057,0.000237891
LUAD:sample291,0.000233213,0.00063165,-0.000136439
LUAD:sample292,-2.42E-05,0.000525623,-0.000674698
LUAD:sample293,0.000365696,-0.000301032,-5.39E-06
LUAD:sample294,0.000725726,-0.000810481,0.000313129
LUAD:sample295,0.000620055,-8.45E-05,0.000850831
LUAD:sample296,0.000480753,-0.000436063,-3.54E-05
LUSC:sample297,-0.000390402,0.000156049,0.000808245
LUSC:sample298,-6.28E-05,-0.000267246,0.000619743
LUSC:sample299,-0.000526232,0.000124984,0.000441156
LUAD:sample300,6.33E-05,0.000620097,-0.001025902
LUAD:sample301,-0.000473623,0.000846394,-0.000983063
LUSC:sample302,-0.00063905,0.000729629,0.000365043
LUSC:sample303,0.000364872,0.000763756,0.001122627
LUSC:sample304,-0.000667273,0.000282495,0.000236494
LUAD:sample305,2.43E-05,-0.000210692,-0.000475746
LUSC:sample306,-0.000232654,0.00011074,0.00058562
LUSC:sample307,-0.00026039,-0.000142724,0.000480753
LUSC:sample308,-0.000327995,-0.000374446,0.00049154
LUAD:sample309,0.000227258,-1.66E-05,-0.000208634
LUSC:sample310,3.15E-05,-0.000354489,0.000396284
LUSC:sample311,-0.000775937,0.000480924,0.000642473
LUAD:sample312,0.000315478,-0.000787908,-0.000948151
LUSC:sample313,-0.000294124,0.000283911,0.000844549
LUSC:sample314,-7.05E-05,0.00022555,0.000850201
LUSC:sample315,-0.00022543,-0.000831988,0.00029879
LUSC:sample316,-0.00072212,-0.000338071,0.000252021
LUAD:sample317,0.000468107,-0.000638787,-0.000618326
LUAD:sample318,0.000264464,0.000185825,-0.000379192
LUAD:sample319,0.000448361,-3.44E-05,-2.25E-05
LUAD:sample320,0.000371199,-6.29E-05,-0.000570826
LUAD:sample321,0.000343299,-0.000312125,0.000243637
LUSC:sample322,-0.000576047,-0.000292607,9.40E-05
LUSC:sample323,-0.000149969,-0.000964025,0.000399788
