,PC1,PC2,PC3
LAML:sample1340,0.000265114,0.000170355,3.86E-05
LAML:sample1341,0.000294191,0.000150622,0.000168971
LAML:sample1354,0.000288198,0.000272113,0.000204096
LAML:sample1360,0.000292678,0.000249566,0.000353222
LAML:sample1369,0.000233282,2.04E-05,-2.54E-06
LAML:sample1373,0.000309625,0.000230726,0.000529107
LAML:sample1391,0.000293489,0.000205953,0.000167893
LAML:sample1400,0.000259948,0.000345461,0.000139238
LAML:sample1407,0.000309263,0.000337814,0.00043292
LAML:sample1412,0.0003114,0.000378143,0.000343072
LAML:sample1418,0.000317951,7.73E-05,0.000100185
LAML:sample1423,0.000293533,0.000336958,0.000303439
LAML:sample1428,0.000313752,0.000200028,0.000235091
LAML:sample1434,0.000263787,0.000316328,0.000275496
LAML:sample1437,0.000290711,8.87E-05,-8.24E-05
LAML:sample1452,0.000313231,0.000240914,0.000274018
LAML:sample1456,0.000350365,0.000467828,0.000628887
LAML:sample1490,0.000264813,0.000298609,0.000247726
LAML:sample150,0.000280613,0.000126544,0.0001426
LAML:sample1500,0.000300641,0.000182542,7.32E-05
LAML:sample1509,0.000296263,4.66E-06,-0.000204761
LAML:sample1510,0.000330382,0.000205252,0.000227673
LAML:sample1519,0.000319034,0.000321214,0.000425377
LAML:sample154,0.000282344,0.000213224,0.000211832
LAML:sample155,0.00027453,0.000333945,0.000222422
LAML:sample166,0.000301298,0.00020674,0.000174951
LAML:sample168,0.000254533,0.000162252,7.75E-05
LAML:sample181,0.000292106,0.000199618,4.42E-05
LAML:sample182,0.000304232,0.000463518,0.000293768
LAML:sample184,0.000199773,0.000230948,7.71E-05
LAML:sample209,0.00030581,0.00028353,0.000230313
LAML:sample21,0.000291201,0.000212848,-8.46E-05
LAML:sample227,0.000281621,0.000305588,0.000206212
LAML:sample229,0.0002717,0.000122477,9.19E-05
LAML:sample236,0.000283635,0.00017357,0.000101865
LAML:sample278,0.000268475,2.93E-05,-2.84E-05
LAML:sample285,0.000294531,0.000240997,-2.41E-05
LAML:sample3,0.000298983,0.000133766,0.000130363
LAML:sample300,0.000288904,0.000124129,0.000140425
LAML:sample303,0.000282587,0.000327271,0.00035504
LAML:sample307,0.000279815,0.000212217,0.000211355
LAML:sample310,0.000294779,0.000207231,4.29E-05
LAML:sample333,0.000311379,0.000103721,5.91E-05
LAML:sample338,0.000302985,5.24E-05,2.10E-05
LAML:sample349,0.000285358,0.000307897,0.00025888
LAML:sample388,0.000317422,0.000237737,0.000214101
LAML:sample4,0.000293092,0.000233479,0.000154098
LAML:sample402,0.000304495,0.000196127,0.000309177
LAML:sample407,0.000314442,0.000209578,0.000182672
LAML:sample417,0.000296873,0.000449558,0.000325875
LAML:sample420,0.000271428,0.000103935,-7.71E-05
LAML:sample423,0.000295649,0.000282952,0.000195158
LAML:sample426,0.000330829,0.000324375,0.00036248
LAML:sample434,0.00030071,0.000154593,0.000197126
LAML:sample436,0.000278089,0.000212311,-1.87E-05
LAML:sample446,0.00030428,0.000143597,0.00011794
LAML:sample477,0.000277774,0.000235575,8.91E-05
LAML:sample485,0.000291042,0.000272952,9.13E-05
LAML:sample499,0.000286198,0.000255229,3.50E-05
LAML:sample501,0.000276825,0.000404281,0.000465547
LAML:sample513,0.000279195,6.28E-05,5.47E-06
LAML:sample523,0.000278897,0.000349369,0.000237155
LAML:sample527,0.000283108,8.29E-05,9.78E-05
LAML:sample530,0.000294835,0.000204684,0.000182779
LAML:sample541,0.00033314,0.000243447,0.000293488
LAML:sample547,0.000303977,0.000224149,0.000511577
LAML:sample56,0.000323597,0.000331685,0.000392757
LAML:sample59,0.000298486,0.000202006,0.000229578
LAML:sample590,0.000265197,0.000371673,0.0002058
LAML:sample602,0.000291099,0.000250522,0.000190843
LAML:sample618,0.000299025,0.000249441,0.000147404
LAML:sample643,0.000289214,0.000138453,0.000131921
LAML:sample650,0.000308521,0.000242926,3.59E-05
LAML:sample656,0.000299691,0.000391041,0.000277603
LAML:sample66,0.000231559,0.000141707,-2.22E-05
LAML:sample662,0.000290946,0.00021336,0.000248747
LAML:sample678,0.000299214,0.000113252,1.81E-05
LAML:sample679,0.000285471,0.000215362,0.000207639
LAML:sample68,0.000271394,0.000118184,9.33E-05
LAML:sample725,0.000262614,0.000414814,0.000488925
LAML:sample726,0.000280767,0.000174259,0.000149909
LAML:sample736,0.000302657,0.000399274,0.00033408
LAML:sample75,0.000290335,0.000213905,0.000248165
LAML:sample787,0.000304393,0.00015596,0.000127587
LAML:sample796,0.000299748,0.000213539,0.00019028
LAML:sample798,0.000283414,0.00021534,0.000157784
LAML:sample8,0.000265597,7.01E-05,3.17E-05
LAML:sample803,0.000304115,0.000150795,0.000367581
LAML:sample819,0.000296615,0.000402687,0.000406851
LAML:sample822,0.000288491,9.97E-05,0.000143545
LAML:sample823,0.000293689,0.000285521,8.01E-05
LAML:sample832,0.000280306,0.000267526,0.000301313
LAML:sample834,0.000257435,0.00030749,0.00015688
